session,created,modified,ended,expired,topic,group,plotx_01,plotx_02,plotx_03,plotx_04,plotx_05,plotx_06,plotx_07,plotx_08,plotx_09,plotx_10,plotx_11,plotx_12,plotx_13,plotx_14,plotx_15,plotx_16,plotx_17,plotx_18,plotx_19,plotx_20,itemo,conse,diffi_01,sensi_01,acccl_01,accu3_01,accov_01,infor_01,value_01,diffi_02,sensi_02,acccl_02,accu3_02,accov_02,infor_02,value_02,diffi_03,sensi_03,acccl_03,accu3_03,accov_03,infor_03,value_03,diffi_04,sensi_04,acccl_04,accu3_04,accov_04,infor_04,value_04,diffi_05,sensi_05,acccl_05,accu3_05,accov_05,infor_05,value_05,diffi_06,sensi_06,acccl_06,accu3_06,accov_06,infor_06,value_06,diffi_07,sensi_07,acccl_07,accu3_07,accov_07,infor_07,value_07,diffi_08,sensi_08,acccl_08,accu3_08,accov_08,infor_08,value_08,diffi_09,sensi_09,acccl_09,accu3_09,accov_09,infor_09,value_09,diffi_10,sensi_10,acccl_10,accu3_10,accov_10,infor_10,value_10,attention_check,diffi_11,sensi_11,acccl_11,accu3_11,accov_11,infor_11,value_11,diffi_12,sensi_12,acccl_12,accu3_12,accov_12,infor_12,value_12,diffi_13,sensi_13,acccl_13,accu3_13,accov_13,infor_13,value_13,diffi_14,sensi_14,acccl_14,accu3_14,accov_14,infor_14,value_14,diffi_15,sensi_15,acccl_15,accu3_15,accov_15,infor_15,value_15,diffi_16,sensi_16,acccl_16,accu3_16,accov_16,infor_16,value_16,diffi_17,sensi_17,acccl_17,accu3_17,accov_17,infor_17,value_17,diffi_18,sensi_18,acccl_18,accu3_18,accov_18,infor_18,value_18,diffi_19,sensi_19,acccl_19,accu3_19,accov_19,infor_19,value_19,diffi_20,sensi_20,acccl_20,accu3_20,accov_20,infor_20,value_20,check_01,check_02,umean_1x,umean_2x,umean_1y,umean_2y,uvary_2x,uvary_2y,uxaxs_1x,uyaxs_1x,uxaxs_1y,uyaxs_1y,mcstu,mcsto,mcsub,texpe
hiDiFnZXN8CJ5vFdB3ZShYXU1C617V563DE1mesCNT8WnofUB5BLAogCqn0JAQAf,2023-11-09T15:42:22Z,2023-11-09T16:05:33Z,2023-11-09T16:05:33Z,,experiment_simulation_vs_lab,cg,halfeye_xaxis_0.8,halfeye_xaxis_-0.8,halfeye_yaxis_0.65,halfeye_xaxis_-0.35,halfeye_yaxis_-0.5,halfeye_xaxis_0.2,halfeye_yaxis_-0.8,halfeye_xaxis_-0.2,halfeye_yaxis_-0.65,halfeye_yaxis_0.2,halfeye_yaxis_-0.35,halfeye_xaxis_0.65,halfeye_yaxis_-0.2,halfeye_yaxis_0.5,halfeye_xaxis_-0.5,halfeye_xaxis_0.5,halfeye_yaxis_0.8,halfeye_yaxis_0.35,halfeye_xaxis_0.35,halfeye_xaxis_-0.65,accuracy_sensitivity,1,7,"",0.4,66,87,7,7,7,"",-0.2,33,87,7,7,7,"",0.2,66,87,7,7,7,"",-0.4,40,94,7,7,7,"",-0.2,33,86,7,7,7,"",0.2,45,90,7,7,7,"",-0.2,33,85,7,7,7,"",-0.2,45,92,7,7,7,"",-0.2,36,87,7,7,7,"",0,47,96,7,7,"",7,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,7,7,7,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,7,7,7,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,7,7,7,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,7,7,7,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,7,7,7,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,7,7,7,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,7,7,7,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,7,7,7,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,7,7,7,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,7,7,,,5,3,2,5,1,1,how many people dot that result,the individual score's ,the individual test score,the number of students ,2,"",1,37
hC2NYGjxIgsiqsLd6DdXMRIr8QarhDWQXVxz8fDrCjgRjo1CVPJ5bVQouDoEIh_Q,2023-11-09T15:45:01Z,2023-11-09T16:02:52Z,2023-11-09T16:02:52Z,,experiment_simulation_vs_lab,cg,halfeye_xaxis_-0.5,halfeye_xaxis_0.2,halfeye_xaxis_-0.35,halfeye_xaxis_0.35,halfeye_xaxis_0.65,halfeye_yaxis_-0.8,halfeye_yaxis_0.35,halfeye_yaxis_0.65,halfeye_xaxis_0.8,halfeye_yaxis_-0.65,halfeye_yaxis_0.2,halfeye_yaxis_-0.2,halfeye_xaxis_-0.8,halfeye_yaxis_-0.35,halfeye_xaxis_0.5,halfeye_yaxis_0.5,halfeye_xaxis_-0.2,halfeye_yaxis_0.8,halfeye_xaxis_-0.65,halfeye_yaxis_-0.5,accuracy_sensitivity,1,1,"",-0.2,32,90,1,1,2,"",0.4,45,95,3,3,3,"",-0.4,31,92,3,3,3,"",0.4,45,95,3,3,4,"",0.6,65,84,4,4,3,"",-0.4,30,90,5,5,4,"",0.2,55,98,4,4,5,"",0.6,70,75,4,5,4,"",0,55,60,4,3,5,"",-0.4,40,75,4,4,"",5,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,3,3,6,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,4,3,6,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,4,4,3,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,4,3,6,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,5,5,4,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,4,3,6,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,4,2,4,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,5,4,6,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,4,4,3,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,4,2,,,5,3,2,5,1,1,The number of students,The test scores,The test scores,The number of students,3,"",1,2
jbikN8CBYZHHFyy1WYPupQILPIfHakoLlCQlB5o0fkzoAbzL_ok3CNYa7d9iyng4,2023-11-09T15:45:19Z,2023-11-09T16:22:47Z,2023-11-09T16:22:47Z,,video_withsub_vs_without,eg_signaling_overlap,halfeye_xaxis_0.2,halfeye_yaxis_0.65,halfeye_yaxis_-0.5,halfeye_xaxis_0.8,halfeye_yaxis_-0.65,halfeye_xaxis_-0.2,halfeye_xaxis_-0.5,halfeye_yaxis_-0.8,halfeye_yaxis_-0.35,halfeye_xaxis_-0.8,halfeye_yaxis_0.2,halfeye_xaxis_0.35,halfeye_yaxis_0.5,halfeye_yaxis_0.35,halfeye_yaxis_-0.2,halfeye_xaxis_0.5,halfeye_xaxis_-0.35,halfeye_xaxis_0.65,halfeye_yaxis_0.8,halfeye_xaxis_-0.65,sensitivity_accuracy,1,1,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,2,2,1,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,2,2,4,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,5,5,2,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,4,2,5,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,5,5,5,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,6,6,6,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,6,6,6,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,6,6,6,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,6,6,6,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,6,6,"",6,"",0.8,25,75,6,5,5,"",0.6,25,75,6,5,6,"",0.6,25,75,6,5,5,"",0.8,25,75,5,5,5,"",-0.6,25,75,5,5,6,"",0.6,25,75,6,6,5,"",-0.6,25,75,6,6,5,"",0.6,30,70,5,5,5,"",0.6,30,70,5,5,5,"",-0.6,25,70,5,5,5,,5,3,4,5,2,1,The test scores,The amount of students who tested at that score,The test scores,The amount of students who tested at that score,1,"",4,25
Whuj4ZX51w4y-Owo7WVBoNjCWnsliZE4UPnLu4DQLmqyrjTPfAvISKkMdSPLZkYf,2023-11-09T15:48:44Z,,,,"","","","","","","","","","","","","","","","","","","","","","","",,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,"",,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,,,,,,,,"","","","",,"","",
ZAKao0d27DUhNzz0g15t53mfeMmycDXvl8WhNEXbBhZs3WHWw4uW7FTyeE4iXXor,2023-11-09T15:50:20Z,2023-11-09T15:52:37Z,,,experiment_simulation_vs_lab,eg_signaling_overlap,halfeye_yaxis_-0.8,halfeye_yaxis_-0.65,halfeye_xaxis_0.5,halfeye_yaxis_0.65,halfeye_yaxis_-0.2,halfeye_yaxis_0.2,halfeye_yaxis_0.8,halfeye_xaxis_0.2,halfeye_yaxis_-0.5,halfeye_xaxis_-0.5,halfeye_xaxis_-0.65,halfeye_yaxis_-0.35,halfeye_xaxis_-0.8,halfeye_xaxis_0.8,halfeye_xaxis_0.65,halfeye_yaxis_0.35,halfeye_xaxis_-0.2,halfeye_xaxis_-0.35,halfeye_xaxis_0.35,halfeye_yaxis_0.5,accuracy_sensitivity,1,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,"",,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,,,,,,,,"","","","",,"","",
QeTEesh2OsFbZJeUff55T_nHhdkmDTElaNNJEOy2tiuWfd_kn1Cqz8Y_3zwfzAP5,2023-11-09T15:50:26Z,2023-11-09T16:13:41Z,2023-11-09T16:13:41Z,,experiment_simulation_vs_lab,eg_signaling_u3,halfeye_yaxis_0.35,halfeye_xaxis_0.8,halfeye_xaxis_-0.35,halfeye_xaxis_-0.8,halfeye_yaxis_0.8,halfeye_xaxis_0.2,halfeye_xaxis_0.35,halfeye_yaxis_-0.2,halfeye_xaxis_-0.2,halfeye_yaxis_0.5,halfeye_yaxis_0.65,halfeye_yaxis_-0.65,halfeye_yaxis_-0.35,halfeye_yaxis_0.2,halfeye_xaxis_-0.5,halfeye_yaxis_-0.5,halfeye_xaxis_0.65,halfeye_xaxis_-0.65,halfeye_xaxis_0.5,halfeye_yaxis_-0.8,accuracy_sensitivity,1,4,"",0.6,60,80,2,3,3,"",0.8,70,75,4,4,4,"",-0.4,45,90,3,3,4,"",-0.4,30,85,3,2,4,"",0.2,55,90,3,3,4,"",0.2,55,95,4,4,3,"",0.4,60,90,3,3,4,"",-0.2,45,90,4,4,4,"",0,45,95,4,4,4,"",0.4,65,85,4,4,"",4,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,5,5,5,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,4,4,6,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,5,5,6,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,5,5,6,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,5,5,5,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,5,5,6,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,5,5,6,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,5,6,6,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,6,6,6,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,6,6,5,,5,3,2,5,1,1,Number of students,Test scores,Test scores,Number of students,1,"","1, 2",2
P-31DgZTHzv9KPhpTcat6mEJ0nbi83ZHUzHvADPPw1bexYNPqfyNOQ9Zel4tdlPq,2023-11-09T15:51:53Z,2023-11-09T16:13:31Z,2023-11-09T16:13:31Z,,reading_digital_vs_analog,eg_benchmark,halfeye_xaxis_0.5,halfeye_xaxis_-0.5,halfeye_xaxis_0.2,halfeye_yaxis_0.2,halfeye_yaxis_-0.35,halfeye_xaxis_-0.2,halfeye_yaxis_-0.8,halfeye_xaxis_-0.35,halfeye_xaxis_-0.8,halfeye_yaxis_-0.65,halfeye_yaxis_-0.5,halfeye_yaxis_-0.2,halfeye_xaxis_-0.65,halfeye_xaxis_0.65,halfeye_yaxis_0.35,halfeye_xaxis_0.35,halfeye_xaxis_0.8,halfeye_yaxis_0.5,halfeye_yaxis_0.8,halfeye_yaxis_0.65,sensitivity_accuracy,1,6,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,2,2,5,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,2,2,4,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,2,2,1,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,2,2,1,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,1,1,2,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,1,1,5,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,4,3,1,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,2,1,5,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,3,2,5,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,4,2,1,2,"",-0.2,52,60,2,1,2,"",0.2,55,52,1,1,4,"",-0.2,60,65,1,1,4,"",0.2,98,70,1,1,3,"",0.2,97,50,1,1,3,"",0.2,80,60,1,1,2,"",0.6,30,50,1,1,3,"",0.2,30,70,1,1,3,"",0.2,30,20,1,1,1,"",0.2,30,60,1,1,,2,5,3,4,4,1,1,"I've no idea, the instructions are terrible",I've no idea anymore.  The instructions are terrible,50% understanding ,don't know,6,none,"",5
2wQKVyMLRmSI5bvmin1YhQRf9bmJML96ttXou9-VGzAwfVDLJBa_96d44L1MdHpz,2023-11-09T15:54:28Z,2023-11-09T16:02:17Z,,,lesson_live_vs_video,cg,halfeye_xaxis_0.35,halfeye_yaxis_0.5,halfeye_yaxis_0.8,halfeye_xaxis_0.5,halfeye_yaxis_-0.5,halfeye_yaxis_0.2,halfeye_xaxis_0.8,halfeye_yaxis_0.35,halfeye_xaxis_-0.2,halfeye_yaxis_-0.2,halfeye_xaxis_0.2,halfeye_xaxis_0.65,halfeye_xaxis_-0.5,halfeye_xaxis_-0.35,halfeye_yaxis_-0.35,halfeye_yaxis_-0.8,halfeye_xaxis_-0.65,halfeye_yaxis_-0.65,halfeye_yaxis_0.65,halfeye_xaxis_-0.8,accuracy_sensitivity,1,4,"",0.2,60,30,3,3,3,"",0.2,50,30,2,3,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,"",,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,,,,,,,,"","","","",,"","",
kXE0OYSImsjCtyiJV4A9bhycOyjxxsFY-3aT3YpG1X7k0kyWoyzvCEro9xiuCOpj,2023-11-09T15:55:45Z,2023-11-09T15:57:51Z,,,experiment_simulation_vs_lab,eg_signaling_u3,halfeye_xaxis_-0.35,halfeye_yaxis_0.2,halfeye_xaxis_0.65,halfeye_xaxis_-0.5,halfeye_yaxis_0.5,halfeye_xaxis_0.35,halfeye_yaxis_-0.8,halfeye_xaxis_-0.2,halfeye_yaxis_0.65,halfeye_yaxis_-0.5,halfeye_yaxis_0.35,halfeye_yaxis_-0.35,halfeye_xaxis_0.2,halfeye_xaxis_0.5,halfeye_yaxis_-0.65,halfeye_xaxis_-0.8,halfeye_xaxis_-0.65,halfeye_yaxis_0.8,halfeye_yaxis_-0.2,halfeye_xaxis_0.8,accuracy_sensitivity,1,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,"",,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,,,,,,,,"","","","",,"","",
_WXiwzvx2eAweuRVuL4S6rxYXmHTVXpg89Vnee1zAgrpqYmITLQb9o5n9xprljlp,2023-11-09T15:56:53Z,2023-11-09T16:29:06Z,2023-11-09T16:29:06Z,,lesson_live_vs_video,eg_signaling_u3,halfeye_xaxis_-0.35,halfeye_xaxis_-0.2,halfeye_xaxis_0.2,halfeye_xaxis_0.8,halfeye_xaxis_-0.8,halfeye_yaxis_0.8,halfeye_yaxis_-0.8,halfeye_yaxis_-0.5,halfeye_yaxis_-0.65,halfeye_yaxis_0.5,halfeye_xaxis_0.5,halfeye_xaxis_-0.5,halfeye_yaxis_0.65,halfeye_xaxis_0.65,halfeye_yaxis_0.35,halfeye_yaxis_0.2,halfeye_xaxis_-0.65,halfeye_xaxis_0.35,halfeye_yaxis_-0.2,halfeye_yaxis_-0.35,sensitivity_accuracy,1,6,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,6,7,6,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,6,7,6,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,6,7,6,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,6,7,6,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,6,7,5,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,6,7,5,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,6,7,5,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,6,7,5,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,6,7,5,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,6,7,1,6,"",0,5,5,6,7,6,"",0.2,5,5,6,7,6,"",0.6,10,10,6,7,6,"",0.4,5,5,6,7,5,"",0.6,5,5,6,7,5,"",0,0,0,6,7,6,"",-0.4,5,5,6,7,6,"",0,3,3,6,7,6,"",0,0,0,6,7,6,"",0,0,0,6,7,5,,2,2,2,2,1,1,more variation,little variation,little variation,more variation,1,"","2, 4",10
55zVtEPWzQWiPIdTyQZN9cu1FtieoqzyZzsUQxaBzjRCnI3wy0y-4yku3nGWtHed,2023-11-09T16:01:09Z,2023-11-09T16:14:40Z,2023-11-09T16:14:40Z,,experiment_simulation_vs_lab,eg_signaling_overlap,halfeye_xaxis_-0.8,halfeye_yaxis_-0.8,halfeye_xaxis_0.65,halfeye_yaxis_-0.2,halfeye_yaxis_0.2,halfeye_yaxis_0.35,halfeye_yaxis_-0.65,halfeye_xaxis_0.5,halfeye_yaxis_-0.35,halfeye_xaxis_-0.35,halfeye_yaxis_-0.5,halfeye_xaxis_0.8,halfeye_xaxis_-0.2,halfeye_xaxis_-0.65,halfeye_xaxis_0.35,halfeye_xaxis_0.2,halfeye_xaxis_-0.5,halfeye_yaxis_0.65,halfeye_yaxis_0.5,halfeye_yaxis_0.8,sensitivity_accuracy,1,5,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,6,5,6,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,6,5,6,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,6,5,6,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,6,5,6,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,6,5,6,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,6,5,6,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,6,5,6,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,6,5,6,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,6,5,6,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,6,5,1,6,"",-0.2,40,90,6,5,6,"",0.4,55,80,6,5,6,"",0,45,95,6,5,6,"",0,35,85,6,5,6,"",0,55,95,6,5,6,"",0,53,97,6,5,6,"",0,45,85,6,5,6,"",0.2,48,90,6,5,6,"",0.2,55,86,6,5,6,"",0.2,40,75,6,5,4,,5,3,2,5,1,1,Number of students,The students' test scores,The students' test scores,The number of students,1,"",4,5
Mu5BohW3SvAq82Txi3hlhG2f2RP844RoNxWmCCQ-i6G1T0COZ40YUvqn80JQgmns,2023-11-09T16:01:41Z,2023-11-09T16:10:27Z,,,reading_digital_vs_analog,eg_signaling_overlap,halfeye_yaxis_0.65,halfeye_xaxis_0.65,halfeye_yaxis_-0.65,halfeye_yaxis_-0.2,halfeye_yaxis_-0.8,halfeye_yaxis_-0.35,halfeye_xaxis_-0.5,halfeye_xaxis_0.5,halfeye_yaxis_0.5,halfeye_xaxis_-0.8,halfeye_yaxis_-0.5,halfeye_yaxis_0.8,halfeye_yaxis_0.2,halfeye_xaxis_-0.2,halfeye_xaxis_-0.65,halfeye_xaxis_0.8,halfeye_xaxis_0.2,halfeye_xaxis_0.35,halfeye_yaxis_0.35,halfeye_xaxis_-0.35,accuracy_sensitivity,1,3,"",0.6,10,80,4,3,2,"",0.4,10,79,3,3,3,"",-0.4,28,59,3,4,5,"",0,4,95,5,4,4,"",-0.4,10,30,4,4,5,"",0,3,88,5,4,4,"",-0.2,3,69,4,4,,"",,,,,,,"",,,,,,,"",,,,,,"",,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,"",,,,,,,,,,,,,,"","","","",,"","",
tQJNBeHuyxaQZkv5RhFalZsHQ8SRjeSRMc5hrbauua9uSi3B9RUFSH03fZ3jNp5F,2023-11-09T16:04:03Z,2023-11-09T16:30:35Z,2023-11-09T16:30:35Z,,lesson_live_vs_video,cg,halfeye_xaxis_0.5,halfeye_yaxis_0.5,halfeye_yaxis_0.65,halfeye_yaxis_-0.5,halfeye_xaxis_0.2,halfeye_xaxis_-0.65,halfeye_yaxis_-0.2,halfeye_yaxis_0.35,halfeye_yaxis_-0.8,halfeye_xaxis_-0.5,halfeye_xaxis_-0.35,halfeye_yaxis_0.2,halfeye_yaxis_-0.35,halfeye_xaxis_0.65,halfeye_xaxis_-0.2,halfeye_xaxis_0.8,halfeye_yaxis_-0.65,halfeye_xaxis_-0.8,halfeye_xaxis_0.35,halfeye_yaxis_0.8,accuracy_sensitivity,1,3,"",0,85,90,2,2,5,"",0.4,80,90,1,1,1,"",0.6,70,90,3,1,4,"",-0.4,55,90,2,2,3,"",0.6,55,90,2,2,4,"",0.4,55,80,3,3,4,"",0.6,55,90,2,2,2,"",0.4,55,80,1,1,2,"",0.4,55,70,2,2,4,"",0.6,60,80,2,2,1,2,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,2,2,2,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,2,2,2,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,2,2,2,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,2,2,2,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,2,2,2,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,3,3,2,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,2,2,2,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,2,2,2,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,2,2,2,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,2,2,,,5,3,2,5,2,2,the percentage of students,from live lesson or recorded lesson,the percentage of students,live lesson or recorded lesson,4,"",4,5
Z0dsqw9mTalDrL-ykptPQhv2UIMgbREBa0xC5QpZDrRT-Zli-9hZhDnC8mLdTycD,2023-11-09T16:05:36Z,2023-11-09T16:32:19Z,2023-11-09T16:32:19Z,,experiment_simulation_vs_lab,eg_benchmark,halfeye_xaxis_-0.35,halfeye_xaxis_-0.5,halfeye_yaxis_0.35,halfeye_yaxis_0.65,halfeye_xaxis_-0.8,halfeye_xaxis_0.2,halfeye_xaxis_-0.65,halfeye_yaxis_0.2,halfeye_yaxis_0.5,halfeye_yaxis_-0.2,halfeye_yaxis_-0.65,halfeye_yaxis_-0.8,halfeye_xaxis_-0.2,halfeye_yaxis_-0.5,halfeye_xaxis_0.65,halfeye_xaxis_0.8,halfeye_xaxis_0.35,halfeye_yaxis_0.8,halfeye_xaxis_0.5,halfeye_yaxis_-0.35,accuracy_sensitivity,1,1,"",0,0,80,1,2,1,"",-0.2,0,80,1,1,2,"",0.4,10,80,2,2,3,"",0.4,50,80,2,2,2,"",0.8,25,50,2,2,2,"",0.6,10,80,2,2,2,"",0.6,30,50,2,2,2,"",0,50,50,2,2,2,"",0.4,10,80,2,2,2,"",-0.2,10,85,2,2,"",3,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,2,3,2,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,2,2,2,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,2,2,2,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,2,2,2,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,2,2,3,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,2,2,3,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,3,2,2,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,2,2,2,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,2,2,2,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,2,2,,4,5,3,2,5,1,1,Number of students getting answer right,Questions got right,Knowledge test score,Number of students getting answer right,3,"",1,18
ZjpG1TdjEFg61qS822DnYH2N3U4FOyoI0na1ROZDI_FCUBFwc1uJ74JtwoRzXEhF,2023-11-09T16:07:22Z,2023-11-09T16:38:22Z,2023-11-09T16:38:22Z,,video_withsub_vs_without,eg_signaling_u3,halfeye_xaxis_-0.8,halfeye_xaxis_-0.5,halfeye_yaxis_0.2,halfeye_xaxis_-0.35,halfeye_xaxis_0.65,halfeye_yaxis_-0.2,halfeye_yaxis_0.65,halfeye_xaxis_-0.2,halfeye_xaxis_-0.65,halfeye_xaxis_0.8,halfeye_yaxis_-0.5,halfeye_yaxis_0.8,halfeye_yaxis_-0.8,halfeye_xaxis_0.2,halfeye_yaxis_-0.35,halfeye_yaxis_0.5,halfeye_yaxis_0.35,halfeye_xaxis_0.35,halfeye_xaxis_0.5,halfeye_yaxis_-0.65,accuracy_sensitivity,1,5,"",0.2,28,65,3,2,5,"",-0.4,25,65,2,3,6,"",0,50,100,2,2,3,"",-0.2,38,84,3,4,5,"",0.2,60,75,4,4,2,"",0,40,91,4,4,4,"",0.2,60,75,4,4,6,"",0.2,41,90,3,2,4,"",0,32,77,3,3,4,"",0.4,60,75,4,3,"",5,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,3,3,5,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,4,4,4,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,4,4,5,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,4,3,3,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,4,3,4,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,4,3,4,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,4,3,3,sensitivity_tablet_livelesson_simulation_videowithsub_equal,,,,5,4,4,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,,,,5,4,5,sensitivity_tablet_livelesson_simulation_videowithsub_superior,,,,3,2,5,,5,3,2,5,1,1,the amount of students with that specific grade,the score on the test,the test score,the amount of students with that specific grade,1,"",2,11
